flight_id,airline,origin,destination,flight_date,delay_minutes,cancelled
F1001,UA,SFO,DEN,2026-09-07,12,false
F1002,UA,SFO,DEN,2026-09-07,45,true
F1003,AA,JFK,SFO,2026-09-07,5,false
F1004,DL,ATL,JFK,2026-09-07,0,false
F1005,UA,SFO,DEN,2026-09-07,88,false
F1006,AA,JFK,SFO,2026-09-08,22,false
F1007,DL,ATL,JFK,2026-09-08,14,false
F1008,UA,SFO,DEN,2026-09-08,61,false
F1009,WN,OAK,LAX,2026-09-08,3,false
F1010,AA,JFK,SFO,2026-09-08,120,true
F1011,DL,ATL,JFK,2026-09-09,9,false
F1012,UA,SFO,DEN,2026-09-09,33,false
F1013,WN,OAK,LAX,2026-09-09,27,false
F1014,AA,JFK,SFO,2026-09-09,7,false
